ID;Device;DateTime;Amount;Status
918414917;Phone;2022-04-30 23:39:58;256;Passive
406881358;TV;2022-04-30 23:22:46;913;Active
538068275;TV;2022-04-30 23:18:10;760;Passive
706354994;Other;2022-04-30 22:41:04;1069;Active
463366230;Other;2022-04-30 22:38:27;1278;Active
960943212;Speaker;2022-04-30 21:16:43;2512;Active
614047061;Other;2022-04-30 21:16:37;343;Passive
790645227;TV;2022-04-30 20:56:30;218;Passive
451285143;Other;2022-04-30 20:40:49;1280;Active
520326951;Computer;2022-04-30 20:39:42;1323;Active
337732585;Other;2022-04-30 20:24:23;703;Passive
679567067;Speaker;2022-04-30 19:36:53;1596;Active
645547316;TV;2022-04-30 19:32:49;2857;Active
910467750;TV;2022-04-30 18:52:59;746;Passive
124343101;Computer;2022-04-30 16:50:57;1568;Active
917289410;Computer;2022-04-30 16:15:05;2185;Active
981079009;TV;2022-04-30 14:51:45;1526;Active
3488623;Speaker;2022-04-30 13:58:54;1030;Active
153818474;Speaker;2022-04-30 13:56:56;2223;Active
308119731;Speaker;2022-04-30 12:14:06;164;Passive
983985287;Computer;2022-04-30 11:53:16;600;Passive
995920656;Speaker;2022-04-30 11:49:25;626;Passive
892040211;TV;2022-04-30 11:48:53;252;Passive
262336222;Computer;2022-04-30 10:53:39;1148;Active
524045892;Other;2022-04-30 09:48:22;407;Passive
654241171;Speaker;2022-04-30 07:19:52;2982;Active
843738567;Other;2022-04-30 06:01:59;1918;Active
516776075;Other;2022-04-29 13:25:38;2578;Active
761621998;Other;2022-04-29 13:20:22;1089;Active
805869788;Computer;2022-04-29 13:18:18;1254;Active
568436972;Computer;2022-04-29 22:35:11;2358;Active
965109263;Other;2022-04-29 22:16:39;1775;Active
951966017;Phone;2022-04-29 22:16:21;238;Passive
673410888;Computer;2022-04-29 21:47:47;522;Passive
33513237;Speaker;2022-04-29 20:22:52;1971;Active
276077413;TV;2022-04-29 19:23:01;245;Passive
937659336;Computer;2022-04-29 19:03:44;419;Passive
382228262;Other;2022-04-29 17:42:51;2166;Active
906252855;TV;2022-04-29 17:28:37;878;Active
876614877;TV;2022-04-29 17:15:30;404;Passive
777518107;Other;2022-04-29 16:50:26;716;Passive
682435413;Phone;2022-04-29 16:39:09;81;Passive
176833546;Speaker;2022-04-29 16:21:22;553;Passive
400422110;Speaker;2022-04-29 16:15:49;2947;Active
700174164;TV;2022-04-29 16:05:14;489;Passive
706465354;TV;2022-04-29 15:50:07;1052;Active
424557054;Phone;2022-04-29 15:46:36;2275;Active
730369347;Phone;2022-04-29 15:31:55;1405;Active
928539097;TV;2022-04-29 15:17:31;1678;Active
421606886;Other;2022-04-29 13:16:21;1657;Active
273783109;Phone;2022-04-29 13:13:09;2591;Active
665620437;Computer;2022-04-29 12:43:38;789;Active
225975469;TV;2022-04-29 11:57:43;608;Passive
832290896;Speaker;2022-04-29 11:39:52;101;Passive
249294384;TV;2022-04-29 10:40:33;367;Passive
123687145;Other;2022-04-29 08:54:14;1117;Active
937874504;Other;2022-04-29 06:40:08;572;Passive
32137342;TV;2022-04-28 23:50:05;1758;Active
612371621;Computer;2022-04-28 23:47:34;2599;Active
787711619;Speaker;2022-04-28 22:09:04;2096;Active
194988296;Computer;2022-04-28 22:02:39;1641;Active
217781477;Computer;2022-04-28 21:22:01;2773;Active
602759324;Phone;2022-04-28 20:52:23;2677;Active
136176334;Phone;2022-04-28 20:16:03;140;Passive
944275872;Other;2022-04-28 18:20:59;198;Passive
578106891;TV;2022-04-28 17:13:57;1811;Active
155743238;TV;2022-04-28 16:16:41;25;Passive
782487589;Computer;2022-04-28 15:53:48;1830;Active
824805011;TV;2022-04-28 14:18:43;349;Passive
844789082;Other;2022-04-28 12:40:43;677;Passive
33805844;TV;2022-04-28 12:14:35;1302;Active
569152054;Computer;2022-04-28 12:05:33;248;Passive
710674602;TV;2022-04-28 11:39:15;1057;Active
620503787;Other;2022-04-28 10:24:18;2616;Active
741374029;TV;2022-04-27 23:03:50;702;Passive
203595946;Phone;2022-04-27 22:32:10;722;Passive
652920724;Computer;2022-04-27 22:12:56;1418;Active
368105265;TV;2022-04-27 21:44:41;1114;Active
805513999;Speaker;2022-04-27 20:34:16;634;Passive
167351066;Speaker;2022-04-27 20:11:15;1696;Active
180691918;Phone;2022-04-27 19:12:39;2476;Active
755600530;Computer;2022-04-27 18:21:52;838;Active
374978213;Speaker;2022-04-27 17:39:39;1505;Active
574253674;Speaker;2022-04-27 17:39:11;798;Active
611767316;Phone;2022-04-27 17:30:27;2636;Active
114316518;Computer;2022-04-27 16:02:22;263;Passive
701795248;Computer;2022-04-27 15:40:02;2851;Active
